@relation data2
@attribute "Nazwa komponentu" string
@attribute AVGCC numeric
@attribute MAXCC numeric
@attribute AVGWMC numeric
@attribute MAXWMC numeric
@attribute AVGDI1 numeric
@attribute MAXDI1 numeric
@attribute AVG0OC numeric
@attribute MAX0OC numeric
@attribute AVGCBO numeric
@attribute MAXCBO numeric
@attribute AVGRFC numeric
@attribute MAXRFC numeric
@attribute AVGLCOM numeric
@attribute MAXLCOM numeric
@attribute AVGca numeric
@attribute MAXCa numeric
@attribute AVGCe numeric
@attribute MAXCe numeric
@attribute AVG0PM numeric
@attribute MAX0PM numeric
@attribute AVGLCOM3 numeric
@attribute MAXLCOM3 numeric
@attribute AVGLOC numeric
@attribute MAXLOC numeric
@attribute AVGDAM numeric
@attribute MAXDAM numeric
@attribute AVGMOA numeric
@attribute MAXMOA numeric
@attribute AVGMFA numeric
@attribute MAXMFA numeric
@attribute AVGCAM numeric
@attribute MAXCAM numeric
@attribute AVGIC numeric
@attribute MAXIC numeric
@attribute AVGCBM numeric
@attribute MAXCBM numeric
@attribute AVGAMC numeric
@attribute MAXAMC numeric
@attribute DistinctAssignee numeric
@attribute PreReleaseDefects numeric
@attribute DistinctReporters numeric
@attribute Liczbaklas numeric
@attribute Dlugoscprojektudni numeric
@attribute Jakosc numeric
@data
'camel-ahc',15.78,47.4167,7.82,25,0.55,1,0,0,9.45,28,23.27,82,32.91,240,1.73,5,8.45,27,6,23,1.33,2,139.64,582,0,0,0.53,1,0.27,1,0,0,0.39,1,0,0,0,0,1,0,2,11,1478,1
'camel-ahc-ws',13.26,34.125,7.43,20,0.43,1,0,0,7.71,24,20.29,47,32.57,156,1.57,4,7.57,24,4.43,9,1.2,2,115.86,283,0,0,0.38,1,0.29,1,0,0,0.45,1,0,0,0,0,0,0,0,7,2635,1
'camel-amqp',6.5,6.5,6,6,0,0,0,0,6,6,12,12,15,15,0,0,6,6,5,5,2,2,45,45,0,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0,1,281,1
'camel-apns',12.86,44,6.73,31,0.93,2,0,0,4.13,16,16.73,59,38.13,413,0.6,3,3.93,16,4.8,26,1.24,2,84.73,347,0,0,0.52,1,0.8,5,0.17,0.8667,0.42,1,0.2,1,0.2,1,0,0,0,15,1478,1
'camel-atmos',19.06,61,4.74,24,0.65,3,0.39,4,6.39,21,16.61,70,14.35,234,0.61,4,5.87,21,3.17,24,1.32,2,89.57,551,0,0,0.47,1,0.87,8,0.15,1,0.57,1,0.13,1,0.13,1,1,0,2,23,2808,1
'camel-atmosphere-websocket',13.84,44.5,5.25,10,0.5,1,0.08,1,7.92,22,14.58,34,7.17,30,1.92,6,7,20,4,9,0.85,2,72.25,192,0,0,0.67,1,0.42,2,0,0,0.53,1,0,0,0,0,0,0,0,12,2635,1
'camel-atom',11.83,26.75,6,12,0,0,0,0,10,17,14.75,22,18,58,1.5,3,10,17,4.25,10,0.92,2,65.5,113,0,0,0.75,1,0.5,1,0,0,0.53,0.6667,0,0,0,0,0,0,0,4,106,1
'camel-avro',12.35,49.5,4.25,15,0.25,1,0.38,2,9.69,19,13.75,34,9.81,85,2.06,9,7.88,18,3.56,15,1.17,2,57.19,176,0,0,0.31,1,0.25,1,0,0,0.54,1,0,0,0,0,0,0,0,16,1822,1
'camel-aws',10.12,18,9.71,18,0.43,1,0,0,10.14,24,27.86,69,49.57,117,1.57,3,9.71,24,7.14,18,1.1,2,128.86,345,0,0,0.57,1,0.29,1,0,0,0.31,0.5833,0,0,0,0,0,0,2,7,1303,1
'camel-bam',11.16,37.5,8.52,22,0.36,2,0.36,3,7.92,20,20.64,53,32.28,211,1.64,4,7.16,19,6.24,18,0.63,1,94.56,299,0,0,0.73,1,0.72,3,0.03,0.8667,0.41,0.6667,0.04,1,0.04,1,1,0,1,25,0,1
